name,description,price,category
ECONOMY,"1 SPRING ROLL, 1 SAMOSA, 1 GIZZARD, 4 PUFF PUFF, 4 MOSA",800,packs
STARTER,"1 SPRING ROLL, 1 SAMOSA, 1 BBQ CHICKEN,  4 PUFF PUFF, 4 MOSA",1000,packs
CLASSIC,"1 SPRING ROLL, 1 SAMOSA, 1 BBQ CHICKEN, 1 GIZZARD, 4 PUFF PUFF, 4 MOSA",1200,packs
SOMETHING FISHY,"1 SPRING ROLL, 1 SAMOSA, 1 BBQ CHICKEN, 1 GIZZARD, 1 FISH FINGER, 4 PUFF PUFF,  4 MOSA",1700,packs
PREMIUM PACK,"1 SPRING ROLL, 1 SAMOSA, 1 BBQ CHICKEN, 1 GIZZARD, 1 FISH FINGER, 4 PUFF PUFF,  4 MOSA, 1 FANTAIL PRAWN",2200,packs
BOSS SPECIAL,"1 SPRING ROLL, 1 SAMOSA, 1 BBQ CHICKEN, 1 GIZZARD, 1 FISH FINGER, 4 PUFF PUFF,  4 MOSA, 1 FANTAIL PRAWN, 1 SNAIL",3000,packs
SOLO DELUXE ,"1 SPRING ROLL, 1 SAMOSA, 1 CHICKEN KEBAB, 1 GIZZARD, 1 SHISH KEBAB, 4 PUFF PUFF,  4 MOSA, 1 CRUMBED SAUSAGE, 1 FISH FINGER, 1 SNAIL, 1 FANTAIL PRAWN",4000,packs
REGULAR ,"10 SPRING ROLL, 10 SAMOSA, 10 BBQ CHICKEN, 10 GIZZARD, 40 PUFF PUFF, 40 MOSA",12000,platter for 10
MEDIUM,"10 SPRING ROLL, 10 SAMOSA, 10 BBQ CHICKEN, 10 GIZZARD, 10 FISH FINGER, 40 PUFF PUFF, 40 MOSA",16000,platter for 10
LARGE,"10 SPRING ROLL, 10 SAMOSA, 10 BBQ CHICKEN, 10 GIZZARD, 10 FISH FINGER, 40 PUFF PUFF, 40 MOSA, 10 FANTAIL PRAWN",20500,platter for 10
CHAIRMAN,"10 SPRING ROLL, 10 SAMOSA, 10 BBQ CHICKEN, 10 GIZZARD, 10 FISH FINGER, 40 PUFF PUFF, 40 MOSA, 10 FANTAIL PRAWN, 10 SNAIL",28500,platter for 10
DELUXE,"10 SPRING ROLL, 10 SAMOSA, 10 BBQ CHICKEN, 10 CHICKEN KEBAB, 10 GIZZARD, 10 SHISH KEBAB, 10 FISH FINGER, 40 PUFF PUFF, 40 MOSA, 10 CRUMBED SAUSAGE, 10 FANTAIL PRAWN, 10 SNAIL",38000,platter for 10
MINI,"5 SPRING ROLL, 5 SAMOSA, 5 BBQ CHICKEN, 5 GIZZARD, 20 PUFF PUFF, 20 MOSA",7000,platter for 5
MIDI,"5 SPRING ROLL, 5 SAMOSA, 5 BBQ CHICKEN, 5 GIZZARD, 5 FISH FINGERS, 20 PUFF PUFF, 20 MOSA",9500,platter for 5
BIGI,"5 SPRING ROLL, 5 SAMOSA, 5 BBQ CHICKEN, 5 GIZZARD, 5 FISH FINGERS, 20 PUFF PUFF, 20 MOSA, 5 FANTAIL PRAWN",12500,platter for 5
BOSS SPECIAL,"5 SPRING ROLL, 5 SAMOSAS, 5 BBQ CHICKEN, 5 GIZZARD, 5 FISH FINGER, 20 PUFF PUFF, 20 MOSA, 5 FANTAIL PRAWN, 5 SNAIL",16500,platter for 5
MINI DELUXE PLATTER,"5 SPRING ROLL, 5 SAMOSAS, 5 CHICKEN KEBAB, 5 GIZZARD, 5 SHISH KEBAB, 20 PUFF PUFF, 20 MOSA, 5 CRUMBED SAUSAGE,  5 FISH FINGER, 5 SNAIL,5 FANTAIL PRAWN",22000,platter for 5
SPRING ROLL,10 PCS,2600,extras
CHICKEN KEBAB,5 PCS,7000,extras
BBQ CHICKEN,5 PCS,6000,extras
PRAWN,5 PCS,8000,extras
SNAIL,5 PCS,7000,extras
PUFF PUFF,10 PCS,2000,extras
GIZZARD,10 PCS,6000,extras
SAMOSA,10 PCS,3000,extras
FISH FINGER,10 PCS,6000,extras
SHISH KEBAB,5 PCS,4500,extras
CRUMBED SAUSAGE,5 PCS,3500,extras
MOSA,10 PCS,2000,extras
